Time (seconds),distance,error,velocity
5.70,12.14777,2.147766,10.73883
5.81,11.99313,1.993127,9.965634
5.92,11.80412,1.804124,9.020619
6.09,11.82131,1.821305,9.106526
6.20,11.7354,1.735395,8.676977
6.40,11.80412,1.804124,9.020619
6.50,11.95876,1.958763,9.793816
6.72,11.90722,1.907216,9.53608
6.91,12.14777,2.147766,10.73883
7.02,12.23368,2.233677,11.16838
7.23,12.81787,2.817869,14.08935
7.34,14.67354,4.673539,23.3677
7.57,12.80069,2.800687,14.00343
7.68,10.37801,0.3780069,1.890035
7.92,9.089347,-0.9106531,-4.553266
8.05,9.175258,-0.8247423,-4.123712
8.26,10.9622,0.9621992,4.810996
8.37,11.37457,1.37457,6.872849
8.54,10.03436,0.03436375,0.1718187
8.65,11.56357,1.563574,7.817869
8.84,13.48797,3.487972,17.43986
8.95,13.59107,3.591065,17.95533
9.14,13.23024,3.230241,16.1512
9.28,14.02062,4.020618,20.10309
9.47,13.91753,3.917525,19.58763
9.58,12.14777,2.147766,10.73883
9.77,11.95876,1.958763,9.793816
9.88,11.47766,1.477663,7.388315
10.07,13.41924,3.419244,17.09622
10.18,12.90378,2.90378,14.5189
10.37,11.87285,1.872852,9.364262
10.50,7.130584,-2.869416,-14.34708
10.69,6.357388,-3.642612,-18.21306
10.80,5.945017,-4.054983,-20.27491
10.99,5.756014,-4.243986,-21.21993
11.10,7.044673,-2.955327,-14.77663
11.29,11.95876,1.958763,9.793816
11.40,11.21993,1.219931,6.099653
11.59,9.845361,-0.1546392,-0.7731962
11.72,9.415808,-0.5841923,-2.920961
11.83,9.278351,-0.7216492,-3.608246
11.94,9.415808,-0.5841923,-2.920961
12.12,10.27491,0.2749138,1.374569
12.23,11.46048,1.460481,7.302403
12.41,14.00344,4.003436,20.01718
12.52,12.50859,2.508591,12.54295
12.73,12.74914,2.749141,13.7457
12.92,11.37457,1.37457,6.872849
13.03,11.37457,1.37457,6.872849
13.22,11.82131,1.821305,9.106526
13.33,12.81787,2.817869,14.08935
13.52,10.01718,0.01718235,0.08591175
13.63,8.900344,-1.099656,-5.498281
13.82,8.058419,-1.941581,-9.707904
13.95,7.216495,-2.783505,-13.91753
14.06,6.37457,-3.62543,-18.12715
14.17,5.773196,-4.226804,-21.13402
14.35,6.718213,-3.281787,-16.40894
14.46,7.955327,-2.044673,-10.22337
14.65,8.316151,-1.683849,-8.419247
14.76,8.642612,-1.357388,-6.786942
14.98,8.762886,-1.237114,-6.18557
15.17,7.542955,-2.457045,-12.28522
15.28,6.872852,-3.127148,-15.63574
15.47,5.687285,-4.312715,-21.56358
15.58,5.962199,-4.037801,-20.189
15.77,11.04811,1.04811,5.24055
15.88,10.63574,0.6357384,3.178692
16.09,10.80756,0.80756,4.0378
16.28,11.04811,1.04811,5.24055
16.39,9.862543,-0.1374569,-0.6872845
16.58,11.03093,1.030928,5.154638
16.69,11.95876,1.958763,9.793816
16.89,14.10653,4.106529,20.53265
17.00,14.45017,4.450171,22.25086
17.19,12.30241,2.302405,11.51203
17.32,10.70447,0.7044668,3.522334
17.52,10.36083,0.3608246,1.804123
17.62,10.37801,0.3780069,1.890035
17.84,10.94502,0.9450169,4.725084
17.95,11.30584,1.305841,6.529207
18.16,12.06186,2.061855,10.30928
18.27,12.49141,2.491408,12.45704
18.49,12.83505,2.835052,14.17526
18.62,13.23024,3.230241,16.1512
18.81,14.45017,4.450171,22.25086
18.92,14.87972,4.879725,24.39862
19.12,11.54639,1.546391,7.731957
19.22,10.84193,0.8419247,4.209623
19.42,12.14777,2.147766,10.73883
19.53,12.14777,2.147766,10.73883
19.72,12.49141,2.491408,12.45704
19.85,13.29897,3.298969,16.49485
19.96,13.76289,3.762886,18.81443
20.06,13.60825,3.608247,18.04123
20.26,14.26117,4.261168,21.30584
20.36,13.64261,3.642612,18.21306
20.56,12.85223,2.852234,14.26117
20.66,9.364261,-0.6357393,-3.178697
20.88,8.659794,-1.340206,-6.701031
21.07,8.659794,-1.340206,-6.701031
21.18,8.419244,-1.580756,-7.903781
21.37,7.147766,-2.852234,-14.26117
21.48,6.52921,-3.47079,-17.35395
21.67,6.168385,-3.831615,-19.15808
21.78,6.116838,-3.883162,-19.41581
21.97,7.731959,-2.268041,-11.34021
22.10,9.175258,-0.8247423,-4.123712
22.21,8.316151,-1.683849,-8.419247
22.32,8.316151,-1.683849,-8.419247
22.50,7.611684,-2.388316,-11.94158
22.60,7.130584,-2.869416,-14.34708
22.80,6.030928,-3.969072,-19.84536
22.90,5.841924,-4.158076,-20.79038
23.12,8.659794,-1.340206,-6.701031
23.32,43.93471,33.93471,100
23.43,39.05498,29.05498,100
23.62,52.23368,42.23368,100
23.74,60.42955,50.42955,100
23.93,56.54639,46.54639,100
24.04,52.13058,42.13058,100
24.24,61.78694,51.78694,100
24.35,83.45361,73.45361,100
24.77,5.429553,-4.570447,-22.85223
24.88,6.013746,-3.986254,-19.93127
25.05,5.859107,-4.140893,-20.70447
25.16,5.687285,-4.312715,-21.56358
25.35,6.52921,-3.47079,-17.35395
25.46,7.388316,-2.611684,-13.05842
25.65,7.388316,-2.611684,-13.05842
25.78,7.371134,-2.628866,-13.14433
25.97,7.474226,-2.525774,-12.62887
26.08,7.457045,-2.542955,-12.71478
26.27,7.388316,-2.611684,-13.05842
26.38,7.388316,-2.611684,-13.05842
26.58,8.075602,-1.924398,-9.621992
26.68,8.058419,-1.941581,-9.707904
26.88,7.388316,-2.611684,-13.05842
27.01,7.886598,-2.113402,-10.56701
27.11,7.044673,-2.955327,-14.77663
27.22,6.185567,-3.814433,-19.07217
27.41,6.030928,-3.969072,-19.84536
27.52,6.61512,-3.38488,-16.9244
27.71,17.31959,7.319588,36.59794
27.82,6.460481,-3.539519,-17.69759
28.06,5.601375,-4.398625,-21.99313
28.25,8.831615,-1.168385,-5.841923
28.36,8.659794,-1.340206,-6.701031
28.53,8.573883,-1.426117,-7.130585
28.64,8.745705,-1.254295,-6.271477
28.83,8.47079,-1.52921,-7.64605
28.94,8.247422,-1.752578,-8.762889
29.16,8.14433,-1.85567,-9.27835
29.35,8.058419,-1.941581,-9.707904
29.46,7.783505,-2.216495,-11.08248
29.67,8.762886,-1.237114,-6.18557
29.78,10.20619,0.2061853,1.030927
29.97,11.04811,1.04811,5.24055
30.08,9.604811,-0.3951893,-1.975946
30.32,10.03436,0.03436375,0.1718187
30.45,10.12028,0.1202745,0.6013727
30.66,10.27491,0.2749138,1.374569
30.77,10.9622,0.9621992,4.810996
30.98,16.21993,6.219931,31.09965
31.09,11.61512,1.61512,8.0756
31.28,9.175258,-0.8247423,-4.123712
31.39,10.37801,0.3780069,1.890035
31.63,12.33677,2.33677,11.68385
31.76,12.56014,2.560138,12.80069
31.87,12.92096,2.920962,14.60481
31.98,13.24742,3.247422,16.23711
32.17,16.87285,6.872852,34.36426
32.28,15.54983,5.549828,27.74914
32.47,7.130584,-2.869416,-14.34708
32.58,5.927835,-4.072165,-20.36083
32.80,7.560137,-2.439863,-12.19931
32.99,8.917525,-1.082475,-5.412374
33.10,9.175258,-0.8247423,-4.123712
33.29,9.501719,-0.4982815,-2.491407
33.40,9.415808,-0.5841923,-2.920961
33.59,8.676976,-1.323024,-6.615119
33.70,8.316151,-1.683849,-8.419247
33.95,7.302405,-2.697595,-13.48797
34.14,6.786942,-3.213058,-16.06529
34.25,6.271478,-3.728522,-18.64261
34.42,5.687285,-4.312715,-21.56358
34.53,6.769759,-3.230241,-16.1512
