Time (seconds),time_ms,distance_cm
0.97,2,20
1.23,266,19
1.47,508,19
1.72,754,19
1.96,1000,19
2.23,1266,19
2.47,1511,8
2.75,1755,0
3.05,2059,0
3.26,2263,0
3.51,2519,0
1.40,2,290
1.65,265,60
1.89,512,56
2.14,762,52
2.39,1011,64
2.64,1261,60
2.89,1510,52
3.14,1760,49
3.44,2059,5
3.64,2258,7
3.89,2507,51
4.14,2757,42
4.39,3006,47
4.63,3250,51
4.90,3518,56
5.15,3769,60
5.40,4020,60
5.64,4258,35
5.89,4506,57
6.13,4754,19
6.38,5000,60
6.64,5259,8
6.88,5504,26
7.13,5753,65
7.40,6020,64
7.65,6266,65
7.90,6516,66
8.15,6767,66
8.40,7016,64
8.63,7252,64
8.90,7520,61
9.15,7766,61
9.40,8017,62
9.71,8318,325
9.90,8519,52
10.15,8768,43
10.40,9018,54
10.64,9263,51
