Time (seconds),time_ms,velocity
1.83,2,0
2.36,526,18.83426
2.88,1052,-7.456402
3.42,1559,0.0
3.84,2006,10.78095
4.34,2507,-1377.332
4.84,3012,-25.61112
5.38,3550,-27.09491
5.85,4022,-29.40787
6.37,4544,-1.347617
6.84,5011,12.80239
7.37,5541,4.956392
7.85,6019,21.14722
8.39,6556,-2472.818
8.87,7034,2896.18
9.35,7522,-37.28201
9.88,8045,-3.634673
10.37,8543,-22.13851
10.84,9013,-121.6225
11.37,9542,15.83451
11.88,10053,-1449.129
12.37,10542,5.286804
12.85,11021,5.617215
13.38,11548,-22.46893
13.85,12022,-6.278111
14.34,12501,-41.86193
14.85,13021,6.401193
15.38,13549,-21.0004
15.86,14033,4.62598
16.36,14528,502.9078
16.86,15024,18.1734
17.35,15520,-11.34667
17.84,16008,-1398.686
18.36,16526,-909.6983
18.88,17047,-4.379759
19.35,17516,16.84522
19.87,18035,-4.295532
20.35,18522,-20.88809
20.87,19043,23.79065
21.38,19548,-17.51254
21.86,20024,-6.608523
22.39,20533,0.0
22.87,21040,-20.8168
23.35,21514,739.4924
23.88,22049,3.369032
24.35,22516,-3.032142
24.87,23036,-2.973832
25.33,23503,-9.433326
25.85,24023,86.24106
26.36,24530,-12.64346
26.84,25009,9.912747
27.35,25514,12.31928
27.88,26046,-9.912784
28.36,26528,-429.8714
28.84,27005,0.9912711
29.38,27544,0.6483906
29.85,28022,-0.6608596
30.34,28506,7.780579
30.87,29034,-9.582373
31.35,29513,-27.42532
